Name,Location,Nearest Station,Postal_Code,Latitude,Longitude
Greggs (Petts Wood),"113 Cotmandene Crescent, Petts Wood, Orpington, BR5 2RB",St Mary Cray,BR5 2RB,51.4036702,0.1061795
Greggs (Sidcup),"Swanley By Pass, Sidcup, Sidcup, DA14 5JA",St Mary Cray,DA14 5JA,51.4096967,0.1440295
Greggs (Westminster),"27 Palmer Street, Westminster, London, SW1H 0PH",St. James's Park,SW1H 0PH,51.4983239,-0.1353574
Greggs (),"1, Hawthorne Trade Park, Hawthorne Road, Staines, TW18 3AY",Staines,TW18 3AY,51.4336343,-0.530737
Greggs (Town Centre),"60 High Street, Town Centre, Staines-upon-Thames, TW18 4DY",Staines,TW18 4DY,51.4342045,-0.5112381
Greggs (Stockwell),"312 Clapham Road, Stockwell, London, SW9 9AE",Stockwell,SW9 9AE,51.4706983,-0.1246928
Greggs (Hackney),"52, The Stratford Centre, Broadway, Hackney, London, E15 1XE",Stratford,E15 1XE,51.5417834,-0.0004368
Greggs (Stratford),"SU003a, Leyton Road, Stratford, London, E15 1AA",Stratford,E15 1AA,51.5458689,0.0041066
Greggs (Stratford),"56, Westfield Stratford City, Montfichet Road, Stratford, London, E20 1EH",Stratford International,E20 1EH,51.5434921,-0.0065395
Greggs (Streatham Hill),"384 Streatham High Road, Streatham Hill, London, SW16 6HP",Streatham,SW16 6HP,51.4257378,-0.1315936
Greggs (Streatham),"158 Streatham High Road, Streatham, London, SW16 1BJ",Streatham Hill,SW16 1BJ,51.4328041,-0.1290539
Greggs (Sunbury Cross),"17 Staines Road West, Sunbury Cross, Sunbury-On-Thames, TW16 7AB",Sunbury,TW16 7AB,51.4196921,-0.420299
Greggs (Surbiton),"77 Victoria Road, Surbiton, Surbiton, KT6 4NS",Surbiton,KT6 4NS,51.3926268,-0.3052126
Greggs (Sutton),"72 High Street, Sutton, Sutton, SM1 1EZ",Sutton,SM1 1EZ,51.3618431,-0.192169
Greggs (Covent Garden),"145 Strand, Covent Garden, London, WC2R 1JA",Temple,WC2R 1JA,51.5116689,-0.1175375
Greggs (Thornton Heath),"32 Brigstock Road, Thornton Heath, Thornton Heath, CR7 8RX",Thornton Heath,CR7 8RX,51.398608,-0.1004145
Greggs (Town Centre),"758 London Road, Town Centre, Thornton Heath, CR7 6JA",Thornton Heath,CR7 6JA,51.3940664,-0.1141913
Greggs (Tooting),"41 Mitcham Road, Tooting, London, SW17 9PA",Tooting Broadway,SW17 9PA,51.4278262,-0.1672031
Greggs (Fitzrovia),"14-28 Oxford Street, Fitzrovia, London, W1D 1AU",Tottenham Court Road,W1D 1AU,51.51643,-0.1321199
Greggs (),"C1-, Tottenham Hale Retail Park, London, N15 4QD",Tottenham Hale,N15 4QD,51.5873409,-0.0620477
Greggs (Tottenham),"Station Road, Tottenham, London, N17 9LR",Tottenham Hale,N17 9LR,51.5885305,-0.0612303
Greggs (Hornsey),"29 High Road, Hornsey, London, N22 6BH",Turnpike Lane,N22 6BH,51.590682,-0.103922
Greggs (Twickenham),"8 King Street, Twickenham, Twickenham, TW1 3SN",Twickenham,TW1 3SN,51.4463962,-0.3288266
Greggs (Upton Park),"380 Green Street, Upton Park, London, E13 9AP",Upton Park,E13 9AP,51.5361441,0.0346273
Greggs (Town Centre),"Denham OTR Service Station, Oxford Road, Town Centre, Uxbridge, UB9 4DF",Uxbridge,UB9 4DF,51.5688804,-0.5044847
Greggs (Uxbridge),"154 High Street, Uxbridge, Uxbridge, UB8 1JY",Uxbridge,UB8 1JY,51.5470694,-0.4800186
Greggs (Victoria),"165 Victoria Street, Victoria, London, SW1E 5NA",Victoria,SW1E 5NA,51.4969189,-0.1386543
Greggs (Town Centre),"86 Woodcote Road, Town Centre, Wallington, SM6 0LY",Wallington,SM6 0LY,51.3586087,-0.149812
